"";"idamostra";"idade1";"hdom1";"licl4";"lscl4";"lscl3";"lscl2";"lscl1";"is";"nmudou";"nis"
"560";140;49,57;25,9465373277739;14,9733286708589;17,8790864760998;21,0098025381911;24,3612420813194;27,9295919033907;1;1;1
"561";140;62,22;27,3791682231724;19,3132318017844;21,9264417461998;24,6098164022623;27,3589381297819;30,1700012472648;1;1;1
"562";140;71,25;28,8018502929085;22,011518539593;24,3502628467336;26,693178211777;29,0399105799729;31,3901618087029;2;1;2
"563";141;39,03;20,2558090488296;10,9675428520486;13,9296867206423;17,3142767895918;21,1373277610989;25,4140603438456;2;1;2
"564";141;49,57;25,6281749065742;14,9733286708589;17,8790864760998;21,0098025381911;24,3612420813194;27,9295919033907;1;1;1
"565";141;62,22;26,8817269400479;19,3132318017844;21,9264417461998;24,6098164022623;27,3589381297819;30,1700012472648;2;1;2
"566";141;71,25;27,0409081506478;22,011518539593;24,3502628467336;26,693178211777;29,0399105799729;31,3901618087029;2;1;2
"567";142;27,69;13,7691747168861;6,55889801511935;9,22417644299252;12,5794373089158;16,7203342778753;21,7462322150437;2;1;2
"568";142;40,97;22,0068023654278;11,7220993993002;14,6929430853857;18,0451333738462;21,7884035262246;25,931898169946;1;1;1
"569";142;51,51;24,1756463598507;15,6775171890833;18,5501496249315;21,6184354918613;24,8771037777509;28,3214459433779;2;1;2
"570";142;64,16;27,5383494337723;19,9221581837282;22,4789960698112;25,0891303853659;27,7489257582225;30,4552672845828;2;1;2
"571";142;73,19;28,1253301478592;22,5458908460167;24,8230882553788;27,0940268946174;29,3592628580087;31,6192624689966;2;1;2
"572";143;40,97;20,0966278382298;11,7220993993002;14,6929430853857;18,0451333738462;21,7884035262246;25,931898169946;2;0;2
"573";143;51,51;23,4991262148013;15,6775171890833;18,5501496249315;21,6184354918613;24,8771037777509;28,3214459433779;2;0;2
"574";143;64,16;27,3393729205225;19,9221581837282;22,4789960698112;25,0891303853659;27,7489257582225;30,4552672845828;2;0;2
"575";143;73,19;28,7023620362836;22,5458908460167;24,8230882553788;27,0940268946174;29,3592628580087;31,6192624689966;2;0;2
"576";144;28,75;13,4906075983364;6,96220663445054;9,67622163201717;13,0546488171458;17,1815176319983;22,1432230076954;2;0;2
"577";144;42,02;20,0568325355798;12,1281327687638;15,0996029158941;18,4310279663238;22,1293334500018;26,2009877607291;2;0;2
"578";144;52,56;24,3746228731005;16,0532750449863;18,905776437319;21,9389636933462;25,1472178791757;28,5255402760092;2;0;2
"579";144;65,21;27,3393729205225;20,2450977638815;22,7706766061119;25,3410780344159;27,9531233004721;30,6040963636359;2;0;2
"580";144;74,24;28,0059442399093;22,828467345212;25,0722186994747;27,3045409745855;29,5264731149143;31,7388844583873;2;0;2
