"idarvore";"dap";"ht";"hi";"dicc";"vcc"
39263;14,5;25,2;8;11,3;0,114207613642919
39263;14,5;25,2;10;10,5;0,132895377542798
39263;14,5;25,2;12;9,6;0,148792621768126
39263;14,5;25,2;14;8,6;0,161839656058484
39263;14,5;25,2;16;7,8;0,172426823301082
39263;14,5;25,2;18;6,5;0,180523492967546
39263;14,5;25,2;20;5,5;0,186217629652178
39263;14,5;25,2;22;3,2;0,189397706815774
39263;14,5;25,2;23,4;3;0,190455481062238
39263;14,5;25,2;25,2;0;0,190879596070472
39264;18,8;26,9;0,1;23,8;0,00444880935674851
39264;18,8;26,9;0,7;21,9;0,0290957818214055
39264;18,8;26,9;1,3;18,8;0,0487240600219529
39264;18,8;26,9;2;18,4;0,0677464035394391
39264;18,8;26,9;4;17;0,117034850681609
39264;18,8;26,9;6;15,8;0,159339537354849
39264;18,8;26,9;8;14,7;0,195917886018759
39264;18,8;26,9;10;13,5;0,227203436459533
39264;18,8;26,9;12;12,2;0,253207184251459
39264;18,8;26,9;14;11,2;0,274749085077124
39264;18,8;26,9;16;10;0,292455101272756
39264;18,8;26,9;18;8,8;0,30639120628408
39264;18,8;26,9;20;7,7;0,317129955372214
39264;18,8;26,9;22;6;0,324614014471228
39264;18,8;26,9;24;4;0,328698084920895
39264;18,8;26,9;25,4;3;0,33007253170684
39264;18,8;26,9;26,9;0;0,330425960880369
39265;16,8;26,3;0,1;20,8;0,00339794661412272
39265;16,8;26,3;0,7;18;0,0212258566047141
39265;16,8;26,3;1,3;16,8;0,0355100500820562
39265;16,8;26,3;2;16,2;0,0504827235894324
39265;16,8;26,3;4;15;0,0887661716660776
39265;16,8;26,3;6;14,1;0,122052131229025
39265;16,8;26,3;8;13;0,150939861076946
39265;16,8;26,3;10;12,2;0,175902956302371
39265;16,8;26,3;12;11,2;0,197444857128036
39265;16,8;26,3;14;10;0,215150873323668
39265;16,8;26,3;16;8,9;0,229225993809914
39265;16,8;26,3;18;7,7;0,240103758372969
39265;16,8;26,3;20;6,5;0,248078691324106
39265;16,8;26,3;22;4,9;0,253282739554778
39265;16,8;26,3;24;3,4;0,256076400821982
39265;16,8;26,3;25,55;3;0,25732785425554
39265;16,8;26,3;26,3;0;0,257504568842304
39266;19,3;26,7;0,1;23,8;0,00444880935674851
39266;19,3;26,7;0,7;21;0,0281860551287423
